id,eta_logV_SAEM,eta_logCl_SAEM,eta_logV_mean,eta_logCl_mean,eta_logV_mode,eta_logCl_mode,eta_logV_sd,eta_logCl_sd
91,-0.832216,-0.0758103,-0.784726,-0.0365942,-0.79724,-0.045047,0.0259373,0.0219783
92,0.105939,0.0757585,0.092273,0.0702421,0.095873,0.0710719,0.0373629,0.0246255
93,-0.727117,-0.0205059,-0.734138,-0.0265293,-0.71836,-0.0112668,0.0227308,0.0178631
94,0.100031,-0.19116,0.107185,-0.185674,0.103227,-0.187876,0.0444863,0.0245766
95,0.35556,-0.513867,0.37336,-0.510777,0.355373,-0.509579,0.04376,0.0237584
96,0.173808,0.0313189,0.179347,0.0372304,0.174409,0.0330684,0.0433367,0.0243542
97,-0.228046,0.29672,-0.212471,0.309574,-0.21682,0.305497,0.0316129,0.0247425
98,-0.247495,0.18281,-0.260022,0.171167,-0.255793,0.176665,0.0332899,0.0243225
99,0.274622,0.277111,0.28384,0.28223,0.268925,0.274181,0.0416421,0.0288746
100,-0.174171,-0.0686401,-0.176225,-0.0650776,-0.183052,-0.0718865,0.0293331,0.0222794
101,0.0779348,0.0860059,0.0787241,0.0797404,0.0744799,0.08417,0.036174,0.0210583
102,0.206354,0.0889646,0.202684,0.0837663,0.202393,0.0868629,0.0308067,0.0227461
103,-0.227589,0.0438076,-0.233456,0.0408913,-0.233374,0.04234,0.0321593,0.0233192
104,0.333711,-0.0699834,0.327497,-0.073662,0.328969,-0.0722257,0.0360132,0.0235588
105,0.326639,0.179023,0.32842,0.175365,0.319827,0.172286,0.0377565,0.025538
106,-0.0526442,0.199067,-0.0805594,0.181331,-0.0709532,0.189207,0.0282037,0.0206496
107,0.0628016,0.240402,0.0461788,0.223564,0.0531817,0.233868,0.0366296,0.0246536
108,0.369493,0.221726,0.370903,0.21959,0.372946,0.224644,0.0323527,0.0211489
109,-0.0707597,0.524764,-0.0906174,0.50886,-0.071466,0.527146,0.0395699,0.0317371
110,0.295203,0.279267,0.303149,0.281494,0.304191,0.2834,0.0360846,0.0269741
111,-0.151097,0.0552689,-0.152188,0.0567381,-0.149668,0.0600291,0.0336689,0.02034
112,-0.482608,0.291575,-0.46998,0.301656,-0.456316,0.313019,0.0377249,0.0277961
113,0.63213,-0.225514,0.633514,-0.22445,0.629571,-0.222652,0.0461578,0.0280222
114,0.526658,0.00216339,0.516222,-0.0110385,0.520856,-0.00139909,0.0370541,0.0190628
115,0.245101,0.092942,0.252616,0.0958825,0.255289,0.100996,0.0484069,0.0281838
116,-0.0853848,0.306457,-0.0870458,0.303917,-0.0794761,0.311613,0.0338088,0.02624
117,-0.122894,-0.109498,-0.125259,-0.109147,-0.128159,-0.110494,0.0364969,0.0239344
118,-0.0454972,0.2919,-0.0651662,0.277869,-0.0504244,0.289302,0.037839,0.0286736
119,-0.248353,0.215012,-0.258199,0.208438,-0.262157,0.205486,0.0240919,0.0210656
120,0.315047,-0.274253,0.32739,-0.267908,0.319361,-0.272253,0.0387144,0.0247096
